EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
DQ265926	Pseudocyphellaria coriifolia	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265927	Pseudocyphellaria intricata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265928	Pseudocyphellaria hirsuta	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265929	Pseudocyphellaria scabrosa	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265930	Pseudocyphellaria crocata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265931	Pseudocyphellaria crocata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265932	Pseudocyphellaria crocata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265933	Pseudocyphellaria crocata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265934	Pseudocyphellaria intricata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265935	Pseudocyphellaria hirsuta	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265936	Pseudocyphellaria crocata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265937	Pseudocyphellaria coriifolia	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265938	Pseudocyphellaria pilosella	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265939	Pseudocyphellaria mallota	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265940	Pseudocyphellaria crocata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265941	Pseudocyphellaria intricata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265942	Pseudocyphellaria crocata	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
