EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
DQ460705	free-living	Nodularia spumigena 	 	 	Palinska	"Int. J. Syst. Evol. Microbiol. 56 (PT 10), 2253-2263 (2006)"	17012544
AM711522	Anthoceros laevis 	Nostoc sp.	Al1	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711523	free-living	Nostoc muscorum	Lukesova 1/87	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711524	free-living	Nostoc muscorum	Lukesova 2/91	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711525	free-living	Nostoc sp.	PCC 8976	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711526	Gunnera tinctoria 	Nostoc sp.	0GU36S01	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711527	Gunnera tinctoria 	Nostoc sp.	0GU36S02	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711528	free-living	Nostoc sp.	Lukesova 40/93	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711529	free-living	Nostoc calcicola	TH2S22	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711530	free-living	Nostoc sp.	996	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711531	Anthoceros laevis 	Nostoc sp.	Al3	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711532	Cycas circinalis 	Nostoc sp.	Cc2	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711533	Cycas revoluta 	Nostoc sp.	Cr4	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711534	Dioon edule	Nostoc sp.	De1	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711535	Encephalartos villosus 	Nostoc sp.	Ev1	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711536	Gunnera manicata 	Nostoc sp.	Gm	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711537	free-living	Nostoc sp.	PCC 8112	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711538	free-living	Nostoc sp.	PCC 9426	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711539	Gunnera macrophylla 	Nostoc sp.	8901:01:00	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711540	Gunnera hamiltonii 	Nostoc sp.	8926	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711541	Gunnera prorepens	Nostoc sp.	8964:03:00	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711542	Gunnera tinctoria 	Nostoc sp.	9104	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711543	free-living	Nostoc sp.	Cam2S01	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711544	free-living	Nostoc sp.	Mau15	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711545	free-living	Nostoc sp.	Lukesova 1/86	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711546	free-living	Nostoc sp.	Lukesova 5/96	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711547	free-living	Nostoc sp.	TH1S01	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711548	free-living	Nostoc elgonense 	TH3S05	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711549	free-living	Nostoc sp.	TO1S01	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711550	Azolla rubra	cyanobacterium	 	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711551	Azolla pinnata subsp. pinnata	cyanobacterium	 	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711552	Azolla caroliniana	cyanobacterium	 	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711553	free-living	Nodularia sp.	Lukesova 1/91	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
AM711554	free-living	Nodularia harveyana	Lukesova 18/94	 	Papaefthimiou	"Int. J. Syst. Evol. Microbiol. 58 (PT 3), 553-564 (2008)"	18319454
Y12687	free-living	Nostoc commune	 	 	Rudi	"J. Bacteriol. 180 (13), 3453-3461 (1998)"	9642201
Y12688	free-living	Nostoc commune var. flagelliforme	 	 	Rudi	"J. Bacteriol. 180 (13), 3453-3461 (1998)"	9642201
AF132779	free-living	Calothrix desertica 	PCC 7102	 	Turner	"J. Eukaryot. Microbiol. 46 (4), 327-338 (1999)"	10461381
AF132788	free-living	Fischerella muscicola 	PCC 7414	 	Turner	"J. Eukaryot. Microbiol. 46 (4), 327-338 (1999)"	10461381
AF067819	free-living	Cylindrospermopsis raciborskii	 	 	Saker	J. Phycol. (1998) In press	 
DQ264163	free-living	Anabaena sigmoidea 	9BU29S1	 	Willame	"J. Phycol. 42 (6), 1312-1332 (2006)"	 
DQ072918	free-living	Gloeothece 	 	 	Uku	"J. Phycol. 43 (4), 768-779 (2007)"	 
EF174200	Pannaria lobulifera 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174201	Pannaria lobulifera 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174202	Pannaria arthroophylla	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174203	Pannaria inctrina	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174204	Pannaria patagonia	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174205	Pannaria inctrina	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174206	Pannaria cf. allorhiza	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174207	Pannaria inctrina	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174208	Pannaria aff. athroophylla 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174209	Pannaria pallida	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174210	Pannaria farinosa 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174211	Pannaria farinosa 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174212	Pannaria farinosa 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174213	Pannaria farinosa 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174214	Pannaria mosenii	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174215	Pannaria farinosa 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174216	Pannaria elixii	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174217	Pannaria euphylla	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174218	Pannaria pallida	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174219	Pannaria tavaresii 	Nostoc sp. 	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174220	Pannaria rubiginosa	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174221	Pannaria conoplea	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174222	Pannaria araneosa	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174223	Pannaria isabellina	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174224	Pannaria durietzii	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174225	Pannaria durietzii	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174226	Pannaria isabellina	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174227	Pannaria durietzii	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174228	Pannaria farinosa 	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174229	Pannaria elixii	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174230	Pannaria elixii	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174231	Pannaria fulvescens	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174232	Pannaria obscura	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF174233	Pannaria andina	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF536020	Psudocyphellaria imshaugii	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF536021	Pannaria andina	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF536022	Pannaria andina	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF536023	Pseudocyphellaria gilva	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
EF536024	Pannaria rubiginella	Nostoc sp.	 	 	Elvebakk	"J. Phycol. 44 (4), 1049-1059 (2008)"	 
AF027653	Peltigera membranacea	Nostoc sp.	TDI#AR94	 	Miao	"Lichenologist (Lond.) 29, 571-586 (1997)"	 
AF027654	Peltigera membranacea	Nostoc sp.	PCC9709	 	Miao	"Lichenologist (Lond.) 29, 571-586 (1997)"	 
AF027655	Macrozamia sp. 	Nostoc punctiforme 	PCC73102	 	Miao	"Lichenologist (Lond.) 29, 571-586 (1997)"	 
AY333615	Nephroma parile	Nostoc sp.	23_Nash_III_30009A	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333616	Nephroma resupinatum	Nostoc sp.	25_Nash_III_30009	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333617	Nephroma bellum	Nostoc sp.	26_Nash_III 30009	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333618	Nephroma parile	Nostoc sp.	27_Rikkinen_et_al._003005	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333619	Nephroma parile	Nostoc sp.	28_Vitikainen_13242	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333620	Nephroma parile	Nostoc sp.	29_Hansen_22_June_1998	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333621	Nephroma bellum	Nostoc sp.	34_Vitikainen_13239	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333622	Nephroma bellum	Nostoc sp.	35_Ahti_&_Djan-Chekar_60277	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333623	Dendriscocaulon 	Nostoc sp.	36_Rikkinen_000313	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333624	Nephroma helveticum	Nostoc sp.	37_Rikkinen_A33A	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333625	Nephroma tangeriense	Nostoc sp.	39_Burgaz_22_July_1995	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333626	Nephroma resupinatum	Nostoc sp.	40_Rikkinen_98A34B	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333627	Nephroma laevigatum	Nostoc sp.	41_Skyten_6243	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333628	Nephroma cellulosum	Nostoc sp.	42_Stenroos_3680	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333629	Nephroma helveticum	Nostoc sp.	44_Nash_III_37165	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333630	Nephroma laevigatum	Nostoc sp.	51_Mayrhofer_&_Prugger_11583	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333631	Nephroma laevigatum	Nostoc sp.	52_Feuerer_&_Marth_19_July_1997	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333632	Sticta fuliginosa	Nostoc sp.	53_Rikkinen_980W1A	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333633	Nephroma laevigatum	Nostoc sp.	54_Kaantonen_284/94	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333634	Nephroma arcticum	Nostoc sp.	57_Rikkinen_et_al._003002	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333635	Leptogium corniculatum	Nostoc sp.	60_Rikkinen_V2b	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333636	Pannaria pezizoides	Nostoc sp.	61_Rikkinen_E10	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333637	Nephroma expallidum	Nostoc sp.	64_Ulvinen_22_July_1998	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333638	Nephroma arcticum	Nostoc sp.	68_Hansen_700B	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333639	Peltigera praetextata	Nostoc sp.	69_Rikkinen_V2A	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333640	Nephroma arcticum	Nostoc sp.	70_Hansen_6_Aug._1998	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333641	Nephroma arcticum	Nostoc sp.	74_Rikkinen_et_al._003016	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
AY333642	Nephroma expallidum	Nostoc sp.	75_Hansen_31_July_1998	 	Lohtander	"Lichenologist (Lond.) 35 (4), 325-339 (2003)"	 
KF142667	Gunnera magellanica	Nostoc sp.	Hap1	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142668	Gunnera magellanica	Nostoc sp.	Hap2	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142669	Gunnera magellanica	Nostoc sp.	Hap3	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142670	Gunnera magellanica	Nostoc sp.	Hap4	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142671	Gunnera magellanica	Nostoc sp.	Hap5	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142672	Gunnera magellanica	Nostoc sp.	Hap6	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142673	Gunnera magellanica	Nostoc sp.	Hap7	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142674	Gunnera magellanica	Nostoc sp.	Hap8	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142675	Gunnera magellanica	Nostoc sp.	Hap9	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142676	Gunnera magellanica	Nostoc sp.	Hap10	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142677	Gunnera magellanica	Nostoc sp.	Hap11	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
KF142678	Gunnera magellanica	Nostoc sp.	Hap12	 	Fernandez-Martinez	Microb. Ecol. (2013) In press	23609130
AJ871987	biological soil	Microcoleus steenstrupii	 	 	Gundlapally	"Microb. Ecol. 52 (2), 345-357 (2006)"	16691327
AY038033	free-living	Anabaenopsis sp.	PCC 9215	 	Iteman	"Microbiology 148 (Pt 2), 481-496 (2002)"	11832512
AY038036	free-living	Cyanospira rippkae	PCC 9501	 	Iteman	"Microbiology 148 (Pt 2), 481-496 (2002)"	11832512
X78680	free-living	Gloeothece membranacea 	PCC6501	 	Nelissen	"Mol. Biol. Evol. 12 (6), 1166-1173 (1995)"	8524048
AJ344563	free-living	Nostoc sp.	SAG 2028	 	Fewer	"Mol. Phylogenet. Evol. 23 (1), 82-90 (2002)"	12182405
FJ815291	Peltigera leucophlebia	Nostoc sp.	UK18	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815293	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815294	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815295	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815297	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815298	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815299	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815301	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815302	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815303	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815304	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815305	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815306	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
FJ815314	Peltigera leucophlebia	Nostoc 	 	 	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
EF102241	Degelia plumbea	Nostoc sp.	Dplu	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102242	Lobaria pulmonaria	Nostoc sp.	Lpul376	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102243	Lobaria pulmonaria	Nostoc sp.	Lpul376b	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102244	Lobaria pulmonaria	Nostoc sp.	Lpul385	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102245	Lobaria pulmonaria	Nostoc sp.	Lpul391	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102246	Lobaria pulmonaria	Nostoc sp.	Lpul400	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102247	Lobaria pulmonaria	Nostoc sp.	Lpul413	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102248	Lobaria pulmonaria	Nostoc sp.	Lpul424	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102249	Lobaria pulmonaria	Nostoc sp.	Lpul431	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102250	Lobaria pulmonaria	Nostoc sp.	Lpul23259	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102251	Lobaria pulmonaria	Nostoc sp.	Lpul23259b	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102252	Lobaria scrobiculata	Nostoc sp.	Lscrsn	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102253	Nephroma bellum	Nostoc sp.	Nbel383	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102254	Nephroma bellum	Nostoc sp.	Nbel388	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102255	Nephroma bellum	Nostoc sp.	Nbel393	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102256	Nephroma bellum	Nostoc sp.	Nbel415	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102257	Nephroma bellum	Nostoc sp.	Nbel21173	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102258	Nephroma bellum	Nostoc sp.	Nbel19679	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102259	Nephroma laevigatum	Nostoc sp.	Nlae381	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102260	Nephroma laevigatum	Nostoc sp.	Nlae403	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102261	Nephroma parile	Nostoc sp.	Npar382	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102262	Nephroma parile	Nostoc sp.	Npar386	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102263	Nephroma parile	Nostoc sp.	Npar402	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102264	Nephroma parile	Nostoc sp.	Npar416	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102265	Nephroma resupinatum	Nostoc sp.	Nres379	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102266	Nephroma resupinatum	Nostoc sp.	Nres19573	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102267	Nephroma tangeriense	Nostoc sp.	Ntan434	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102268	Protopannaria pezizoides	Nostoc sp.	Ppez426	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102269	Parmeliella triptophylla	Nostoc sp.	Ptri387	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102270	Parmeliella triptophylla	Nostoc sp.	Ptri392	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102271	Parmeliella triptophylla	Nostoc sp.	Ptri401	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102272	Parmeliella triptophylla	Nostoc sp.	Ptri412	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102273	Peltigera leucophlebia	Nostoc sp.	Pleu377	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102274	Peltigera leucophlebia	Nostoc sp.	Pleu390	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102275	Peltigera leucophlebia	Nostoc sp.	Pleu399	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102276	Peltigera leucophlebia	Nostoc sp.	Pleu463	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102277	Peltigera leucophlebia	Nostoc sp.	Pleu21759	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102278	Peltigera leucophlebia	Nostoc sp.	Pleu21834	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102279	Peltigera leucophlebia	Nostoc sp.	Pleu21860	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102280	Peltigera malacea	Nostoc sp.	Pmal429	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102281	Peltigera membranacea	Nostoc sp.	Pmem425	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102282	Peltigera membranacea	Nostoc sp.	Pmemb432	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102283	Peltigera neopolydactyla	Nostoc sp.	Pneo395	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102284	Peltigera neopolydactyla	Nostoc sp.	Pneo410	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102285	Peltigera praetextata	Nostoc sp.	Ppra378	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102286	Peltigera praetextata	Nostoc sp.	Ppra384	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102287	Peltigera praetextata	Nostoc sp.	Ppra389	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102288	Peltigera praetextata	Nostoc sp.	Ppra398	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102289	Peltigera praetextata	Nostoc sp.	Ppra414	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102290	Peltigera praetextata	Nostoc sp.	Ppra418	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102291	Peltigera praetextata	Nostoc sp.	Ppra428	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102292	Peltigera praetextata	Nostoc sp.	Ppra430	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102293	Peltigera sp.	Nostoc sp.	Psp437	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
EF102294	Pseudocyphellaria crocata	Nostoc sp.	Pcro436	 	Myllys	"New Phytol. 173 (3), 621-629 (2007)"	17244057
AY577535	Collema tenax	Nostoc lichenoides 	CNP-AK1	 	Rehakova	"Phycologia 46, 481-502 (2007)"	 
