KC437648	Group 000	REDUNDANT	NA	Peltigera praetextata	HOB030611-5-10-7	British Columbia, Battle Creek	WNA	O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441
KC437650	Group 000	REDUNDANT	NA	Peltigera praetextata	HOB030611-5-10-8	British Columbia, Battle Creek	WNA	O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441
prae02	NA	REDUNDANT	NA	Peltigera praetextata		Ontario	ENA	Anstette	Unpublished	
prae03	NA	REDUNDANT	NA	Peltigera praetextata		Ontario	ENA	Anstette	Unpublished	
prae04	NA	REDUNDANT	NA	Peltigera praetextata		Ontario	ENA	Anstette	Unpublished	
prae05	NA	REDUNDANT	NA	Peltigera praetextata		Ontario	ENA	Anstette	Unpublished	
prae06	NA	REDUNDANT	NA	Peltigera praetextata		Ontario	ENA	Anstette	Unpublished	
prae07	NA	REDUNDANT	NA	Peltigera praetextata		Ontario	ENA	Anstette	Unpublished	
prae08	NA	REDUNDANT	NA	Peltigera praetextata		Ontario	ENA	Anstette	Unpublished	
prae09	NA	REDUNDANT	NA	Peltigera praetextata		Ontario	ENA	Anstette	Unpublished	
